Cost Center	Subject	Training Type	Course Code	Training Title	Session ID	Facility	Training Attendee Status	Registration Date	Transcript Assigned Date	Training Due Date	Part Name	Part Start Time	Part End Time	Part Time Zone	Completion Date	Last Transcript Status Change Date	Time in Training	Training Hours	Credit Hours	Provider	Version Number
		Online Class		Samsung Brand Strategy			Completed	5/30/2025 15:35	5/30/2025 15:35						5/30/2025 16:05	5/30/2025 16:05	30	0.25	0	(SEU) Sales&Marketing School	1
	 [Design], Expertise	Video		[11? ??????] ???? ???? ?? - Disruptive Innovation : 151104_???? ????_Disruptive Innovation			Registered	6/5/2025 9:18	6/5/2025 9:18							6/5/2025 9:18	0	1.02	0	(SEU) Design School	1
	 Core	Curriculum		[ENG] GenAI PowerUser Program - Level 1, 2 (Global)			Completed	2/1/2025 23:36	2/1/2025 23:36						4/9/2025 12:02	4/9/2025 12:02	0	4	0	(SEU) S/W School	1
	 [Business Strategy], [Business Strategy] Business Strategy/Industry Trends, Core	Online Class		Critical Thinking for Better Judgment and Decision-Making			Completed	6/6/2025 12:32	6/6/2025 12:32						6/6/2025 14:58	6/6/2025 14:58	0	0.93	0	(LinkedIn Learning) ???? ??	
	 [Leadership Competency], [Leadership] Change management, Leadership	Online Class		Disruptive Technologies Case Studies for Business Leaders			Completed	6/5/2025 9:21	6/5/2025 9:21						6/5/2025 11:29	6/5/2025 11:29	0	1.07	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], [Functional Competency] Collaboration, Expertise	Online Class		Enhancing Team Innovation			Completed	6/6/2025 9:17	6/6/2025 9:17						6/6/2025 11:58	6/6/2025 11:58	0	1.18	0	(LinkedIn Learning) ???? ??	
		External Content		How To Cultivate Your Leadership Style			In Progress	6/9/2025 15:46	6/9/2025 15:46							6/9/2025 15:46	0	0.08	0	External Content	1
	 [Functional Competency], [Functional Competency] Task management, Expertise	Online Class		Managing Your Career: Mid-Career			Completed	6/6/2025 15:06	6/6/2025 15:06						6/6/2025 16:46	6/6/2025 16:46	0	0.98	0	(LinkedIn Learning) ???? ??	
	 [Functional Competency], [Functional Competency] Stress management, Expertise	Online Class		Mindfulness Practices			Completed	6/9/2025 11:30	6/9/2025 11:30						6/9/2025 14:42	6/9/2025 14:42	0	2.05	0	(LinkedIn Learning) ???? ??	
		External Content		Office Politics - How to Deal with Difficult People at Work			Completed	6/6/2025 16:50	6/6/2025 16:50						6/9/2025 11:15	6/9/2025 11:15	0	0.15	0	External Content	1
	 [Sales], [Sales] B2C sales, Expertise	Online Content		Presentation Skills: Give a Great New Business Pitch			In Progress	2/17/2025 11:44									14	6.22	0	(Udemy) ???	
