NO	Classification	Language	Course Name	Course ID	Training Hours
242	Leadership	English (US)	11 Inactions that Ruin a Leader's Reputation	ec3d3853-2a03-5807-b430-691e3f040331	0.82
243	Leadership	English (US)	15 Questions to Ask before Hiring a Lawyer	0d05563e-bde4-5b75-917e-96430ccd4bd3	0.43
244	Leadership	English (US)	A Modern Guide to Strategy Implementation	4dcdb065-8573-574a-a638-96d7667d6e8b	0.8
245	Leadership	English (US)	Accountability for Leaders: Navigating Diversity, Equity, and Inclusion	b5c9e6c9-ee37-5d5c-abb3-c96674e33fb6	0.78
246	Leadership	English (US)	Arianna Huffington's Thrive 03: Setting Priorities and Letting Go	cf9c98cf-2291-544e-98d0-ecb48ec8f0cc	0.73
247	Leadership	English (US)	Balanced Scorecard and Key Performance Indicators	658020ee-8d3b-58e7-a783-2388779e120a	1.27
248	Leadership	English (US)	Become a Chief of Staff	cf539160-4e70-57ac-8a75-6b32090a24f8	0.3
249	Leadership	English (US)	Become a Digital Trust & Safety Leader	aad29b26-fe64-5461-8ab5-0abb6884f61f	1.5
250	Leadership	English (US)	Become a Trauma Informed Leader	1c523618-26f3-5514-a1e5-4b6bbf752e03	0.75
251	Leadership	English (US)	Becoming a Thought Leader	69f966fa-d88c-5ded-918e-9616a091b5b0	1.27
252	Leadership	English (US)	Becoming an AI-First Product Leader	978ca58e-8d20-5669-8e41-a0b2fc6ccb5f	0.53
253	Leadership	English (US)	Becoming an Impactful and Influential Leader	1ca37c3a-c720-55bd-9af0-0451e39edfd3	0.33
254	Leadership	English (US)	Bed Bath & Beyond CEO Mark Tritton (Thirty Minute Mentors)	e2bc9202-8db9-5cf8-9a73-0ab8ff6f703b	0.47
255	Leadership	English (US)	Being Your Own Fierce Self-Advocate	9d4543d9-c797-526a-98cb-f3bf3ff41a43	1.02
256	Leadership	English (US)	Bill George on Self-Awareness, Authenticity, and Leadership	4284789d-6860-5149-88e6-0bd1175e2e56	0.37
257	Leadership	English (US)	Body Language for Authentic Leadership	6e32b07c-e558-5e7e-929f-a3e284d5882b	0.6
258	Leadership	English (US)	Bridging the Gap: Your Guide to Equity-Based Leadership	e4ed2949-fec4-5b7c-a0f2-d0cd462061ce	0.98
259	Leadership	English (US)	Build Your Creative Capacity as a Leader	87e0ee2e-1d82-516a-9255-1fdb0d7aecfb	0.75
260	Leadership	English (US)	Building a Better To-Do List	40c12126-fa23-512f-a0e3-0fb75e2679d4	0.83
261	Leadership	English (US)	Building a Diverse Professional Network	52053ec6-d742-5cb9-9013-e64be4daf2f3	0.32
262	Leadership	English (US)	Building a Portfolio Career: Diversify Your Income and Do More of What You Love	215fe49c-2e37-5489-882a-08fe2416cc05	0.67
263	Leadership	English (US)	Building Resilience as a Leader	e25205c8-6822-5845-87b0-8a06a11b8843	0.83
264	Leadership	English (US)	Building Self-Confidence	76075c72-3038-5e9c-9b01-f4a9d81661ec	0.3
265	Leadership	English (US)	Building Thought Leadership as a Diverse Voice	f0d1256b-5f1b-519e-82aa-1084324d7059	0.58
266	Leadership	English (US)	Building Your Visibility as a Leader	7da5f197-faf0-57ba-9c7e-7620bd34a7de	0.65
267	Leadership	English (US)	CEO Excellence: The Six Mindsets of Exceptional Leaders (Book Bite)	56dc7115-288b-5706-9d13-8d6457e45149	0.25
268	Leadership	English (US)	Coaching Yourself through the Ambiguity of Leading	dea0776b-a2cf-5ace-ab77-8312522a0a67	0.57
269	Leadership	English (US)	Coaching Yourself to Career Success	d69c40eb-9bd5-5661-a3ea-4db92a385d8d	0.68
270	Leadership	English (US)	Complete Confidence in Minutes: Weekly	f6bb6daf-8c97-5f6a-a579-b5290643c987	1.08
271	Leadership	English (US)	Conscious Leadership	63ffd9aa-4fe9-581d-aeb9-022dc0431eab	0.78
272	Leadership	English (US)	Contact Center Leadership	a3b52cbe-d13e-5250-b2cd-d6739751ebc5	0.87
273	Leadership	English (US)	Cover Letter Tips	6215c145-c9f1-5335-8daf-44cfacab2d49	0.23
274	Leadership	English (US)	Creating Equity for LGBTQ+	186e9c1c-1c8c-540c-94c8-62700f825f82	0.77
275	Leadership	English (US)	Customer Service Leadership	d9b45f10-640e-5a99-a142-85ea032372f2	1.12
276	Leadership	English (US)	Decoding Executives: Strategies to Effectively Work with Leadership	ef55b778-fdc0-5f74-8780-1bda23d14e8b	0.6
277	Leadership	English (US)	Demonstrating Accountability as a Leader	1d0b9c7a-5918-5c55-af49-f0f99a6668dc	0.25
278	Leadership	English (US)	Developing Credibility as a Leader	8a91fa61-4c99-5018-a2a4-6d893da20ae8	0.57
279	Leadership	English (US)	Developing Leadership Presence	16fc844f-e898-508d-9f9a-68a940753b3d	0.67
280	Leadership	English (US)	Developing Your Creativity as a Leader	01f000e1-0644-53ce-9780-98bc7d1daf1e	0.98
281	Leadership	English (US)	Developing Your Emotional Intelligence	870aff1a-ff19-55a9-83d7-7e0e80241d78	0.7
282	Leadership	English (US)	Developing Your Emotional Intelligence (with Audio Descriptions)	7cc4872a-a487-5f60-9b07-2892292438bd	1.3
283	Leadership	English (US)	Developing Your Leadership Philosophy	7a2febd5-8074-5c30-8a82-5df866b7841e	1.38
284	Leadership	English (US)	Disability Readiness for Leaders and Managers	07fd9909-7432-5d01-b40c-1d8e05578a6c	0.55
285	Leadership	English (US)	Discovery-Driven Leadership with Rita McGrath	50ed3507-68f7-5b30-91aa-0e6d15808e1d	0.97
286	Leadership	English (US)	Emerging Leader Foundations	2729257f-795f-5b4f-af3b-712b273fabc6	0.83
287	Leadership	English (US)	Equity Framework: A Guide for Managers and Leaders	e2ed8607-c45a-5c87-b420-f56f5dd655c6	0.67
